text,likes,replies,date,sentiment
israeli media hides his own casualties  dont tell their hundteds troops have been killed by hmas,0,0,2023-11-07T15:56:20Z,0
Complaining doesn't change a thing only taking action does.,0,0,2023-10-15T10:20:41Z,0
Nothing is a waste of time if you use the experience wisely.,0,0,2023-10-15T08:05:47Z,0
This is crazy yes Hammas needs to be punished but bombing civilians is absolutely ridiculous and crazy but the world choose to ignore this,0,0,2023-10-13T21:59:33Z,0
this is genocide!,0,0,2023-10-13T17:46:10Z,0
Gaza welcomes demonic Hamas and now wants sympathy? I think not.,0,0,2023-10-13T02:31:23Z,0
"No sympathy for terrorists or those who harbor them. The ppl of Palestine should hold those who are really responsible for this.,. Hamas, Hezbollah and Iran. They attached Israel and put you in harms way. That should show you just how much they really care for the ppl of Palestine.",0,0,2023-10-13T02:22:56Z,0
I don’t understand I’m very surprised at people of Gaza you didn’t expect retaliation it’s wander,1,0,2023-10-13T00:23:40Z,0
Why the Hamuus attact them first..? 😢,0,0,2023-10-12T20:51:53Z,0
EL SOL   SERA DADO CON FUEGO A QUEMAR A LOS HOMBRES. DIAS FINALES DE LA HISTORIA DE LA HUMANIDAD.,0,0,2023-10-12T18:19:06Z,0
But people dont you read history Israel are God people if you dont know him you ipl be introduced to him,0,0,2023-10-12T16:40:03Z,0
Take the weapons out of civilian areas and watch the casualty rate go way down.,0,0,2023-10-12T15:30:40Z,0
Al Jazeera is a puppet for Hamas!!!,0,0,2023-10-12T14:04:48Z,0
"IF ISRAEL HAD GAZA THEY WOULD TURN IT INTO GOLD,   PEOPLE OF GAZA LET HAMAS TURN IT INTO SHEEET!!!",0,0,2023-10-12T13:57:09Z,0
"RANA SHUBAIR ASK EGYPT TO SEND U FOOD MEDICINE AND WATER, THEY WONT!!! ",0,0,2023-10-12T13:53:35Z,0
"EGYPT WILL NOT ALLOW GAZA PEOPLE TO CROSS THRU RAFAH CROSSING TO EGYPT,  ",0,0,2023-10-12T13:51:55Z,0
"WHEN U VOTE FOR HAMAS,  U TEACH TO HATE,  U TEACH TO SPEW POISION,  U TEACH TO BE STUPID ,  R U HAPPY NOW??",0,0,2023-10-12T13:43:35Z,0
"IT IS IMPOSSIBLE TO HAVE TOTAL CONTROL OF GAZA, AS EGYPT CAN SEND FOOD MEDICINE WATER, , STOP LYING",0,0,2023-10-12T13:38:42Z,0
"another biblical, religious war.. Issac vs Ismael,,,God help Israel crush its enemies",0,0,2023-10-12T12:58:33Z,0
"whats the difference whether a child is beheaded or blown apart by a state of the art precision controlled ordinance mr president. 2 year ago noone gave a hoot when a jew claimed ownership of a palestinian family home. but how quick was retribution when usa congress was overrun. one sided loyalties i say.
hypocritical usa",0,0,2023-10-12T09:11:02Z,0
...and the jew boss is sounding the same as hitler 80 year ago.,0,0,2023-10-12T08:59:57Z,0
