text,likes,replies,date,sentiment
How did this come out on October 8th?,4,4,2024-09-04T21:18:26Z,0
NO more 10 trivia and 10 out of 10.,0,0,2024-06-14T21:01:27Z,0
"Go Wakefield Middle School! 
Raleigh, NC!
Go Wolves!",0,0,2024-06-04T19:07:25Z,0
Big shout out Coy from Ms. Williams's SS Class at Christopher Elementary School. GO TIGERS!😀,0,0,2024-05-06T11:28:04Z,0
"Bro this is BS
Free Palestine 🇵🇸",8,4,2024-04-30T03:30:38Z,0
Why are you guys saying give me a shot out on a video like this.,1,0,2024-04-15T04:23:11Z,0
"That’s the footage? 🤔
Maybe there’s video of the concert goers somewhere.",0,0,2024-04-06T01:17:05Z,0
All y’all care abt is a shoutout,9,3,2024-02-25T16:15:13Z,0
Central middle school Waterloo Iowa,0,0,2024-02-23T03:45:34Z,0
"""free free Palestine"" (repeat)",6,2,2024-02-23T02:23:36Z,0
Shoutout to Sophia at St.Theresa school Hawaii for the Eagles. Our teacher Mr.Verdugo let's us watch you in history. Shoutout soon please!!,0,0,2024-02-22T03:12:48Z,0
"The New Mexico National Guard Youth ChalleNGe Academy Cycle 46 would love a shout out. CNN10 is the perfect way for our Cadets to keep informed on the news of the outside world as they voluntarily spend 22 weeks at our school, away from home and their phones, all to improve themselves, their education, and their lives.  I know a shoutout from you would make their entire Cycle. CHALLENGE!!",0,0,2024-02-20T17:02:34Z,0
Pls shout out Mrs. Ednie class 3-4 period and mascot pirates our school is Pine Tree Isd.,0,0,2024-02-20T16:51:54Z,0
Please shout out mr woods class from hope academy in orange Connecticut,0,0,2024-02-20T00:50:09Z,0
Highland middle school in Louisville Kentucky Ms. Bradley’s classroom -kennia,1,0,2024-02-17T00:25:18Z,0
Hi I go to school at saint stanislaus school chicopee Massachusetts. My teacher is Mr.shae awsome. We are 6th grade and we want a shout out,0,0,2024-02-16T21:10:02Z,0
Lisa west middle school Little Rock Arkansas,0,0,2024-02-16T18:22:46Z,0
🐯🐯🐯 Mrs. Heidemann's Middle School classes need a shout out. We are Humansville Middle School in Humansville Missouri.  Home of the TIGERS 🐯🐯🐯🐯🐯🐯🐯🐯🐯🐯,0,1,2024-02-16T11:58:50Z,0
Humansville Middle School of Humansville Missouri...Home of the TIGERS 🐅🐅🐅🐅🐅🐅🐅,0,0,2024-02-16T11:58:43Z,0
Humansville Middle School  of Humansville Missouri...Home of the TIGERS 🐯🐯🐯🐯🐯🐯🐯,0,1,2024-02-16T11:58:35Z,0
Please give the Humansville Middle School of Humansville Missouri a shout out. These kids watch daily just waiting to hear you give them a shout out.,0,1,2024-02-16T11:58:28Z,0
"Hey Coy, this is Coach T's moderate special education class from Eastlake High School in Chula Vista, CA. We watch CNN10 every single day! Your 10-minute segments are the highlight of our day. We'd greatly appreciate a shoutout from you. Looking forward to more amazing episodes. Go TITANS!!!! 🔵⚪",0,0,2024-02-15T22:03:26Z,0
"Hi I've subscribe I really want you to shout out my class in your next video on Friday cause we watch cnn10 every Friday
Our school:
Pathfinder middle school
Pinckney MI USA
Ms.McHughs Class",0,0,2024-02-15T19:44:31Z,0
Im so sad I wish Israel didn't have to fight😣😭,5,0,2024-01-08T02:49:17Z,0
2:15 Arab people WHAT THEY ARE CALLED PALESTINIANS THEY ARE NOT ARAB PEOPLE. Can’t you say Palestinians. It doesn’t make sense,9,1,2023-12-03T14:19:13Z,0
DID YOU KNOW YOUTUBE IS USING A VIDEO OF A MURDERED ISRAEL FEMALE SOLDIER TO GAIN STATISTICS...SHAMEFUL,2,0,2023-11-28T20:13:53Z,0
Yeah it's always rich people that complain their people are oppressed. Makes you question why they have 💰& you don't?,1,0,2023-11-26T10:56:32Z,0
the fact they wouldn’t even say the word palestine…,4,0,2023-11-23T08:29:52Z,0
"Israel, God is with you, you are always a winner.",11,1,2023-11-09T19:37:26Z,0
"Hello Coy!!!! This is Mrs. Dear’s Class at West DePere High School in Green Bay, WI. Let’s go Phantoms !!!!!!!! And Go Pack GO!!",1,0,2023-11-02T13:03:27Z,0
Misleading channel.. free Palestine 🇵🇸🇵🇸,15,1,2023-10-31T12:06:05Z,0
"misleading channel 
shame on u 😡😡😡",9,0,2023-10-31T03:30:20Z,0
"My class love these videos!
-If you can, please shout-out Mrs.B.McIsaac's Homeroom Class!",0,0,2023-10-30T04:21:34Z,0
Can I just say I love the Jews my Jews that I’ve met this is unacceptable to me to attack them. But this violence needs to end. No more children should die. On either side,1,0,2023-10-30T02:16:42Z,0
Disappointing to see no mention of Palestinians and the occupation by the settler colonial state of Isreal. Classrooms that are using CNN 10 videos to teach their kids should have an unbiased view and historical context on why this attack happened. Are you going to discuss Palestinian children affected by Israeli airstrikes on Gaza? It is our tax dollars that have been funding Israel's settler-colonialism and brutality on the Palestinian people for the past SEVEREAL DECADES. FREE PALESTINE 🇵🇸,12,0,2023-10-22T01:20:28Z,0
