text,likes,replies,date,sentiment
"Thanks to hamas for this scene ???

I've read a survey on Gazans, 50% plus they support hamas and willing to sacrifies their lifes and families.
50% minus, they dont like hamas",0,0,2025-02-16T09:26:40Z,0
Octb7th!😢,0,0,2025-02-08T20:09:59Z,0
"If israel want israel map at time of moses than all world wants same map at time of moses, but it is not possible to go back in time, israel shud stay within current borders, and all other countries shud stay within their borders and no wars.",0,0,2025-02-06T05:32:43Z,0
Israel will make it new again and if they keep a lid on the destructive ideology they may be able to live near the Palestinians again.,0,0,2025-01-15T19:09:11Z,0
hamas destroyed everything they had.,0,0,2025-01-05T22:29:13Z,0
"Why them lie them was sleeping in a prison for many years ... this was a normal city 
A prison was built in Syria, by Irans sulatns money 💰 
A Palestini is done to Palestinis just to stay on the king chairs",0,0,2025-01-05T17:41:32Z,0
Still standing some houses ..work to do idf .,0,0,2025-01-05T00:49:17Z,0
Palestinians started this war,0,0,2025-01-04T16:26:34Z,0
"What nonsense and propaganda, telling the world that Gaza was an open air prison 🤷 It looked nothing like a prison 🤷",0,0,2025-01-04T15:56:09Z,0
"They wanted the war, now the play the victim …",0,0,2025-01-03T14:18:26Z,0
"Imagine if Europeans peacefully gave the land back to the native people..America, Australia, Israel and many more..",0,0,2024-12-18T11:24:03Z,0
Perhaps rocket launchers should not have been part of the landscape.,0,0,2024-12-18T03:45:04Z,0
lol sky showing everything except terrorist always show bombed building,0,0,2024-12-08T22:50:24Z,0
"Oh this is the ""open air prison"" before? This is why they need a separate organization to take care of them? 76 years 3 generations living in complex buildings and still considered ""refugees"", who eats this $hit?????!",1,1,2024-12-05T17:37:09Z,0
Fked around and found out,1,0,2024-11-26T09:22:09Z,0
I am the saver I am the destroyer...... says.  Lord Shree Krishna.,0,0,2024-11-25T19:12:25Z,0
The most dangerous animals ?  THE HUMAN.    the eco will fail.,0,0,2024-11-25T10:59:48Z,0
They could have lived in peace in that paradise.,3,0,2024-11-25T09:28:43Z,0
the 8th of october There Was huge party in Those Roads… maybe They have exagerete with Fireworks…(I pray for Peace for Booth Israeli and Palestinans),1,0,2024-11-24T20:13:06Z,0
They truly could have had it all. But the wanted more.,1,0,2024-11-24T09:22:12Z,0
"If hamas wants to own land, book a trip to mars via space x they can do what they want to do there.",0,0,2024-11-22T05:11:11Z,0
"i assume, palestinian is different with hamas.. Hamas makes this",0,0,2024-11-22T01:34:34Z,0
"From dancing, celebration and shouting in the streets to this day. FAFO 😢",0,0,2024-11-21T10:03:48Z,0
It's all Hamas fault,1,0,2024-11-20T23:26:41Z,0
What happened to the people they lived there??,0,0,2024-11-18T14:51:27Z,0
"They voted in Hamas and Hamas spent all that tax on rockets, gold and tunnels",0,0,2024-11-15T15:16:25Z,0
"Muslims love all this tho, I don’t understand it myself, I like Wi-Fi, pizza, electricity and running water to much.",0,0,2024-11-15T15:12:48Z,0
All at behest of Allahs will..and Allah has to pay for his sins.,0,0,2024-11-15T11:34:07Z,0
"Hamas did this, not isreal",0,0,2024-11-14T20:49:21Z,0
Hamas is totally to blame for all this.,0,0,2024-11-13T22:33:56Z,0
only question i have.. in this place no factors no natural resources and no farming..how people are getting money.. i see the population is huge.. what is the magic,1,0,2024-11-07T23:14:32Z,0
still building are there..,0,0,2024-11-07T23:13:23Z,0
Dats d price of war.😢,0,0,2024-11-07T07:25:14Z,0
The before footage doesn't appear to be in need of aid...the Palestinians have had it too good for too long.,0,0,2024-11-05T21:49:45Z,0
But... Who started the War first ?,0,0,2024-11-05T15:05:18Z,0
also likewise is mankind before and after islam,0,0,2024-11-05T11:47:14Z,0
Sad to see my birth city destroyed by extreme radical ideology. We lived along so many wonderful people with the biggest hearts.,0,0,2024-11-05T10:04:05Z,0
Lesson learned in a hard way.... Don't mess with wrong people,1,0,2024-11-05T09:34:36Z,0
Only the Gazan Palestinians chose this path.  Most of the West Bank Palestinians are sensible enough not to get into this messy arrangements.  I do hope that Israel and the Palestinians would enter into the final agreement so they can look forward to a stable and progressive future.,1,0,2024-11-05T05:19:13Z,0
And the tunnels and probably the hostages are underneath everything.,0,0,2024-11-05T04:27:21Z,0
